index,long,lat,file_path
50,-90.1854442,38.6253026,./data/vDBs7Zo6ENu8gkQ3fKJnbz/2025-04-25_21H29mn20s313.jpg
51,-90.1854126,38.6253183,./data/vDBs7Zo6ENu8gkQ3fKJnbz/2025-04-25_21H29mn22s545.jpg
52,-90.18538290000001,38.6253342,./data/vDBs7Zo6ENu8gkQ3fKJnbz/2025-04-25_21H29mn24s467.jpg
53,-90.1853522,38.6253487,./data/vDBs7Zo6ENu8gkQ3fKJnbz/2025-04-25_21H29mn26s472.jpg
54,-90.1853213,38.625363300000004,./data/vDBs7Zo6ENu8gkQ3fKJnbz/2025-04-25_21H29mn28s400.jpg
55,-90.18529070000001,38.6253782,./data/vDBs7Zo6ENu8gkQ3fKJnbz/2025-04-25_21H29mn30s667.jpg
56,-90.1852604,38.6253935,./data/vDBs7Zo6ENu8gkQ3fKJnbz/2025-04-25_21H29mn32s631.jpg
57,-90.185227,38.6254061,./data/vDBs7Zo6ENu8gkQ3fKJnbz/2025-04-25_21H29mn35s714.jpg
58,-90.1851936,38.6254161,./data/vDBs7Zo6ENu8gkQ3fKJnbz/2025-04-25_21H29mn40s679.jpg
59,-90.1851628,38.6254304,./data/vDBs7Zo6ENu8gkQ3fKJnbz/2025-04-25_21H29mn42s655.jpg
60,-90.185128,38.625439300000004,./data/vDBs7Zo6ENu8gkQ3fKJnbz/2025-04-25_21H29mn44s618.jpg
61,-90.1850933,38.6254451,./data/vDBs7Zo6ENu8gkQ3fKJnbz/2025-04-25_21H29mn46s331.jpg
62,-90.1850419,38.6254517,./data/vDBs7Zo6ENu8gkQ3fKJnbz/2025-04-25_21H29mn49s585.jpg
63,-90.1850077,38.625457,./data/vDBs7Zo6ENu8gkQ3fKJnbz/2025-04-25_21H29mn51s644.jpg
64,-90.1849677,38.6254567,./data/vDBs7Zo6ENu8gkQ3fKJnbz/2025-04-25_21H29mn53s923.jpg
65,-90.1849309,38.625463,./data/vDBs7Zo6ENu8gkQ3fKJnbz/2025-04-25_21H29mn56s121.jpg
66,-90.18489910000001,38.625476,./data/vDBs7Zo6ENu8gkQ3fKJnbz/2025-04-25_21H29mn58s397.jpg
67,-90.1848755,38.6254965,./data/vDBs7Zo6ENu8gkQ3fKJnbz/2025-04-25_21H30mn00s553.jpg
68,-90.1848621,38.625506800000004,./data/vDBs7Zo6ENu8gkQ3fKJnbz/2025-04-25_21H30mn01s894.jpg
69,-90.1848478,38.6255155,./data/vDBs7Zo6ENu8gkQ3fKJnbz/2025-04-25_21H30mn02s977.jpg
70,-90.18483900000001,38.625518,./data/vDBs7Zo6ENu8gkQ3fKJnbz/2025-04-25_21H30mn03s602.jpg
71,-90.1848056,38.6254999,./data/vDBs7Zo6ENu8gkQ3fKJnbz/2025-04-25_21H30mn06s064.jpg
72,-90.1847781,38.6254737,./data/vDBs7Zo6ENu8gkQ3fKJnbz/2025-04-25_21H30mn09s681.jpg
73,-90.1847549,38.6254475,./data/vDBs7Zo6ENu8gkQ3fKJnbz/2025-04-25_21H30mn12s491.jpg
74,-90.18473300000001,38.6254189,./data/vDBs7Zo6ENu8gkQ3fKJnbz/2025-04-25_21H30mn15s600.jpg
75,-90.18471720000001,38.625389,./data/vDBs7Zo6ENu8gkQ3fKJnbz/2025-04-25_21H30mn18s034.jpg
76,-90.1847073,38.6253571,./data/vDBs7Zo6ENu8gkQ3fKJnbz/2025-04-25_21H30mn20s843.jpg
77,-90.1847049,38.6253426,./data/vDBs7Zo6ENu8gkQ3fKJnbz/2025-04-25_21H30mn21s475.jpg
78,-90.184697,38.6253151,./data/vDBs7Zo6ENu8gkQ3fKJnbz/2025-04-25_21H30mn24s407.jpg
79,-90.184698,38.6252877,./data/vDBs7Zo6ENu8gkQ3fKJnbz/2025-04-25_21H30mn26s646.jpg
80,-90.1847091,38.6252577,./data/vDBs7Zo6ENu8gkQ3fKJnbz/2025-04-25_21H30mn28s568.jpg
81,-90.1847212,38.6252306,./data/vDBs7Zo6ENu8gkQ3fKJnbz/2025-04-25_21H30mn30s754.jpg
82,-90.18473680000001,38.6252001,./data/vDBs7Zo6ENu8gkQ3fKJnbz/2025-04-25_21H30mn32s875.jpg
83,-90.18475020000001,38.6251726,./data/vDBs7Zo6ENu8gkQ3fKJnbz/2025-04-25_21H30mn34s984.jpg
84,-90.1847668,38.6251382,./data/vDBs7Zo6ENu8gkQ3fKJnbz/2025-04-25_21H30mn37s296.jpg
85,-90.1847765,38.6251216,./data/vDBs7Zo6ENu8gkQ3fKJnbz/2025-04-25_21H30mn38s694.jpg
86,-90.18477920000001,38.6251153,./data/vDBs7Zo6ENu8gkQ3fKJnbz/2025-04-25_21H30mn39s071.jpg
87,-90.18477920000001,38.6251153,./data/vDBs7Zo6ENu8gkQ3fKJnbz/2025-04-25_21H30mn39s460.jpg
88,-90.1847801,38.625108,./data/vDBs7Zo6ENu8gkQ3fKJnbz/2025-04-25_21H30mn39s943.jpg
89,-90.1847513,38.6251302,./data/vDBs7Zo6ENu8gkQ3fKJnbz/2025-04-25_21H30mn43s712.jpg
90,-90.1847379,38.6251562,./data/vDBs7Zo6ENu8gkQ3fKJnbz/2025-04-25_21H30mn45s674.jpg
91,-90.1847241,38.6251836,./data/vDBs7Zo6ENu8gkQ3fKJnbz/2025-04-25_21H30mn47s790.jpg
92,-90.1847046,38.6252172,./data/vDBs7Zo6ENu8gkQ3fKJnbz/2025-04-25_21H30mn49s986.jpg
93,-90.18469470000001,38.6252403,./data/vDBs7Zo6ENu8gkQ3fKJnbz/2025-04-25_21H30mn51s962.jpg
94,-90.18467270000001,38.625270900000004,./data/vDBs7Zo6ENu8gkQ3fKJnbz/2025-04-25_21H30mn54s554.jpg
95,-90.18465450000001,38.625295200000004,./data/vDBs7Zo6ENu8gkQ3fKJnbz/2025-04-25_21H30mn56s744.jpg
96,-90.18463460000001,38.6253182,./data/vDBs7Zo6ENu8gkQ3fKJnbz/2025-04-25_21H30mn59s004.jpg
97,-90.18461090000001,38.6253392,./data/vDBs7Zo6ENu8gkQ3fKJnbz/2025-04-25_21H31mn01s754.jpg
98,-90.18458460000001,38.6253655,./data/vDBs7Zo6ENu8gkQ3fKJnbz/2025-04-25_21H31mn04s159.jpg
